index,MODEL,RESIDUAL MODEL,INPUTS,BEST LAG,R2 OSA TRAIN,R2 FS TRAIN,RMSE OSA TRAIN,RMSE FS TRAIN,R2 OSA TOTAL,R2 FS TOTAL,RMSE OSA TOTAL,RMSE FS TOTAL,TIME MEAN
513,GradientBoosting,SVM,SISO+Residuals,19,0.91,0.649,0.079,0.156,0.869,0.662,0.099,0.159,0.576
514,GradientBoosting,KNN,SISO+Residuals,19,0.91,0.648,0.079,0.157,0.869,0.659,0.099,0.16,0.574
627,MLP,GradientBoosting,SISO+Residuals,20,0.886,0.652,0.089,0.156,0.848,0.659,0.107,0.16,1.656
566,SVM,RandomForest,SISO+Residuals,20,0.904,0.638,0.082,0.159,0.861,0.657,0.102,0.16,0.434
626,MLP,RandomForest,SISO+Residuals,20,0.9,0.649,0.083,0.156,0.86,0.656,0.102,0.16,1.14
536,MLP,RandomForest,SISO+Residuals,19,0.878,0.642,0.092,0.158,0.842,0.654,0.109,0.161,0.792
515,GradientBoosting,DecisionTree,SISO+Residuals,19,0.909,0.64,0.08,0.158,0.869,0.652,0.099,0.161,0.575
516,GradientBoosting,RandomForest,SISO+Residuals,19,0.911,0.64,0.079,0.158,0.87,0.652,0.098,0.161,0.638
603,GradientBoosting,SVM,SISO+Residuals,20,0.892,0.654,0.087,0.155,0.847,0.652,0.107,0.161,0.585
519,GradientBoosting,MLP,SISO+Residuals,19,0.909,0.636,0.08,0.159,0.87,0.648,0.099,0.162,2.34
511,GradientBoosting,LinReg,SISO+Residuals,19,0.91,0.636,0.079,0.159,0.872,0.648,0.098,0.162,0.576
512,GradientBoosting,PolyReg,SISO+Residuals,19,0.934,0.635,0.068,0.159,0.537,0.648,0.186,0.162,0.725
517,GradientBoosting,GradientBoosting,SISO+Residuals,19,0.909,0.635,0.08,0.159,0.87,0.647,0.099,0.162,0.039
518,GradientBoosting,ExtraTrees,SISO+Residuals,19,0.909,0.634,0.08,0.16,0.87,0.646,0.099,0.163,0.104
604,GradientBoosting,KNN,SISO+Residuals,20,0.894,0.648,0.086,0.157,0.852,0.645,0.105,0.163,0.583
476,SVM,RandomForest,SISO+Residuals,19,0.88,0.619,0.092,0.163,0.846,0.641,0.107,0.164,0.267
612,ExtraTrees,PolyReg,SISO+Residuals,20,0.948,0.618,0.06,0.163,0.496,0.638,0.194,0.165,0.336
623,MLP,SVM,SISO+Residuals,20,0.807,0.611,0.116,0.165,0.796,0.636,0.124,0.165,0.922
613,ExtraTrees,SVM,SISO+Residuals,20,0.925,0.613,0.072,0.164,0.878,0.636,0.095,0.165,0.151
609,GradientBoosting,MLP,SISO+Residuals,20,0.896,0.637,0.085,0.159,0.854,0.635,0.104,0.165,0.738
615,ExtraTrees,DecisionTree,SISO+Residuals,20,0.929,0.614,0.07,0.164,0.879,0.634,0.095,0.165,0.15
616,ExtraTrees,RandomForest,SISO+Residuals,20,0.93,0.614,0.07,0.164,0.88,0.633,0.095,0.166,0.218
614,ExtraTrees,KNN,SISO+Residuals,20,0.928,0.612,0.071,0.164,0.878,0.632,0.095,0.166,0.15
611,ExtraTrees,LinReg,SISO+Residuals,20,0.929,0.613,0.07,0.164,0.882,0.632,0.094,0.166,0.152
618,ExtraTrees,ExtraTrees,SISO+Residuals,20,0.929,0.612,0.07,0.164,0.879,0.631,0.095,0.166,0.075
531,MLP,LinReg,SISO+Residuals,19,0.842,0.608,0.105,0.165,0.819,0.631,0.116,0.166,0.506
601,GradientBoosting,LinReg,SISO+Residuals,20,0.896,0.634,0.085,0.16,0.859,0.631,0.103,0.166,0.585
539,MLP,MLP,SISO+Residuals,19,0.837,0.61,0.107,0.165,0.813,0.63,0.118,0.166,0.961
407,DecisionTree,GradientBoosting,SISO+Residuals,12,0.861,0.615,0.098,0.164,0.833,0.63,0.112,0.166,0.666
617,ExtraTrees,GradientBoosting,SISO+Residuals,20,0.929,0.612,0.07,0.164,0.88,0.63,0.095,0.166,0.392
532,MLP,PolyReg,SISO+Residuals,19,0.879,0.604,0.092,0.166,0.817,0.63,0.117,0.166,0.617
533,MLP,SVM,SISO+Residuals,19,0.836,0.609,0.107,0.165,0.812,0.629,0.119,0.167,0.506
624,MLP,KNN,SISO+Residuals,20,1.0,0.605,0.0,0.166,0.922,0.629,0.076,0.167,0.92
478,SVM,ExtraTrees,SISO+Residuals,19,0.865,0.606,0.097,0.166,0.838,0.629,0.11,0.167,0.253
607,GradientBoosting,GradientBoosting,SISO+Residuals,20,0.913,0.631,0.078,0.16,0.869,0.628,0.099,0.167,0.835
537,MLP,GradientBoosting,SISO+Residuals,19,0.846,0.605,0.104,0.166,0.822,0.628,0.115,0.167,0.749
534,MLP,KNN,SISO+Residuals,19,0.838,0.605,0.106,0.166,0.815,0.628,0.118,0.167,0.504
535,MLP,DecisionTree,SISO+Residuals,19,0.851,0.609,0.102,0.165,0.819,0.627,0.116,0.167,0.504
404,DecisionTree,KNN,SISO+Residuals,12,0.85,0.601,0.102,0.167,0.828,0.627,0.113,0.167,0.003
605,GradientBoosting,DecisionTree,SISO+Residuals,20,0.905,0.629,0.081,0.161,0.863,0.626,0.101,0.167,0.584
619,ExtraTrees,MLP,SISO+Residuals,20,0.927,0.607,0.071,0.165,0.876,0.625,0.096,0.167,1.124
606,GradientBoosting,RandomForest,SISO+Residuals,20,0.906,0.629,0.081,0.161,0.86,0.625,0.102,0.168,0.611
608,GradientBoosting,ExtraTrees,SISO+Residuals,20,0.9,0.624,0.083,0.162,0.86,0.624,0.102,0.168,0.554
406,DecisionTree,RandomForest,SISO+Residuals,12,0.842,0.602,0.105,0.167,0.821,0.62,0.116,0.168,0.147
629,MLP,MLP,SISO+Residuals,20,0.822,0.601,0.111,0.167,0.805,0.62,0.121,0.169,0.142
538,MLP,ExtraTrees,SISO+Residuals,19,0.848,0.599,0.103,0.167,0.822,0.619,0.115,0.169,0.827
408,DecisionTree,ExtraTrees,SISO+Residuals,12,0.833,0.598,0.108,0.167,0.816,0.616,0.117,0.169,0.012
403,DecisionTree,SVM,SISO+Residuals,12,0.828,0.597,0.11,0.168,0.811,0.616,0.119,0.169,0.004
567,SVM,GradientBoosting,SISO+Residuals,20,0.895,0.592,0.085,0.168,0.851,0.615,0.106,0.17,0.726
565,SVM,DecisionTree,SISO+Residuals,20,0.818,0.585,0.113,0.17,0.801,0.614,0.122,0.17,0.003
477,SVM,GradientBoosting,SISO+Residuals,19,0.897,0.589,0.085,0.169,0.859,0.614,0.103,0.17,0.734
564,SVM,KNN,SISO+Residuals,20,0.82,0.582,0.112,0.171,0.806,0.614,0.121,0.17,0.003
401,DecisionTree,LinReg,SISO+Residuals,12,0.829,0.592,0.109,0.169,0.814,0.612,0.118,0.17,0.004
405,DecisionTree,DecisionTree,SISO+Residuals,12,0.829,0.587,0.109,0.17,0.815,0.61,0.118,0.171,0.002
409,DecisionTree,MLP,SISO+Residuals,12,0.827,0.588,0.11,0.169,0.812,0.608,0.119,0.171,0.413
563,SVM,SVM,SISO+Residuals,20,0.813,0.573,0.114,0.172,0.8,0.607,0.122,0.171,0.004
628,MLP,ExtraTrees,SISO+Residuals,20,0.89,0.588,0.088,0.169,0.854,0.607,0.104,0.171,1.426
562,SVM,PolyReg,SISO+Residuals,20,0.862,0.568,0.098,0.173,0.822,0.606,0.115,0.172,0.125
402,DecisionTree,PolyReg,SISO+Residuals,12,0.844,0.586,0.104,0.17,0.805,0.606,0.121,0.172,0.029
569,SVM,MLP,SISO+Residuals,20,0.813,0.571,0.114,0.173,0.8,0.606,0.122,0.172,1.101
388,SVM,ExtraTrees,SISO+Residuals,12,0.872,0.586,0.094,0.17,0.845,0.604,0.108,0.172,0.032
472,SVM,PolyReg,SISO+Residuals,19,0.857,0.564,0.1,0.174,0.822,0.604,0.115,0.172,0.105
622,MLP,PolyReg,SISO+Residuals,20,0.857,0.582,0.1,0.171,0.774,0.604,0.13,0.172,1.041
387,SVM,GradientBoosting,SISO+Residuals,12,0.878,0.585,0.092,0.17,0.852,0.603,0.105,0.172,0.694
561,SVM,LinReg,SISO+Residuals,20,0.821,0.569,0.112,0.173,0.809,0.603,0.12,0.172,0.01
568,SVM,ExtraTrees,SISO+Residuals,20,0.835,0.576,0.107,0.172,0.816,0.603,0.117,0.172,0.273
475,SVM,DecisionTree,SISO+Residuals,19,0.818,0.566,0.113,0.174,0.805,0.602,0.121,0.172,0.003
473,SVM,SVM,SISO+Residuals,19,0.813,0.563,0.114,0.174,0.8,0.6,0.122,0.173,0.005
479,SVM,MLP,SISO+Residuals,19,0.813,0.563,0.114,0.174,0.8,0.6,0.122,0.173,1.761
471,SVM,LinReg,SISO+Residuals,19,0.82,0.563,0.112,0.174,0.809,0.599,0.12,0.173,0.01
414,RandomForest,KNN,SISO+Residuals,12,0.941,0.633,0.064,0.16,0.885,0.596,0.093,0.174,0.37
416,RandomForest,RandomForest,SISO+Residuals,12,0.942,0.631,0.064,0.16,0.886,0.595,0.092,0.174,0.136
418,RandomForest,ExtraTrees,SISO+Residuals,12,0.941,0.629,0.064,0.161,0.886,0.594,0.092,0.174,0.086
474,SVM,KNN,SISO+Residuals,19,0.815,0.558,0.114,0.175,0.804,0.593,0.121,0.174,0.003
386,SVM,RandomForest,SISO+Residuals,12,0.879,0.572,0.092,0.173,0.85,0.593,0.106,0.174,0.078
592,RandomForest,PolyReg,SISO+Residuals,20,0.941,0.602,0.064,0.167,0.593,0.593,0.174,0.174,0.494
417,RandomForest,GradientBoosting,SISO+Residuals,12,0.941,0.627,0.064,0.161,0.886,0.593,0.092,0.175,0.453
411,RandomForest,LinReg,SISO+Residuals,12,0.941,0.629,0.064,0.161,0.887,0.592,0.092,0.175,0.372
412,RandomForest,PolyReg,SISO+Residuals,12,0.945,0.627,0.062,0.161,0.843,0.592,0.109,0.175,0.397
413,RandomForest,SVM,SISO+Residuals,12,0.941,0.628,0.064,0.161,0.886,0.592,0.092,0.175,0.372
419,RandomForest,MLP,SISO+Residuals,12,0.941,0.627,0.064,0.161,0.886,0.592,0.092,0.175,2.32
415,RandomForest,DecisionTree,SISO+Residuals,12,0.941,0.628,0.064,0.161,0.885,0.591,0.093,0.175,0.371
593,RandomForest,SVM,SISO+Residuals,20,0.906,0.599,0.081,0.167,0.87,0.591,0.098,0.175,0.298
594,RandomForest,KNN,SISO+Residuals,20,0.907,0.601,0.081,0.167,0.869,0.59,0.099,0.175,0.297
429,GradientBoosting,MLP,SISO+Residuals,12,0.908,0.62,0.08,0.163,0.86,0.589,0.102,0.175,0.497
596,RandomForest,RandomForest,SISO+Residuals,20,0.909,0.6,0.079,0.167,0.871,0.589,0.098,0.175,0.145
621,MLP,LinReg,SISO+Residuals,20,0.813,0.56,0.114,0.175,0.804,0.589,0.121,0.175,0.922
595,RandomForest,DecisionTree,SISO+Residuals,20,0.907,0.597,0.08,0.167,0.87,0.588,0.098,0.176,0.297
424,GradientBoosting,KNN,SISO+Residuals,12,1.0,0.614,0.0,0.164,0.922,0.588,0.077,0.176,0.596
591,RandomForest,LinReg,SISO+Residuals,20,0.908,0.598,0.08,0.167,0.871,0.588,0.098,0.176,0.299
597,RandomForest,GradientBoosting,SISO+Residuals,20,0.907,0.597,0.08,0.168,0.87,0.588,0.099,0.176,0.612
598,RandomForest,ExtraTrees,SISO+Residuals,20,0.907,0.597,0.08,0.168,0.87,0.587,0.099,0.176,0.097
599,RandomForest,MLP,SISO+Residuals,20,0.907,0.596,0.08,0.168,0.869,0.585,0.099,0.176,1.222
426,GradientBoosting,RandomForest,SISO+Residuals,12,0.912,0.607,0.078,0.166,0.864,0.581,0.101,0.177,0.784
385,SVM,DecisionTree,SISO+Residuals,12,0.821,0.545,0.112,0.178,0.801,0.577,0.122,0.178,0.004
428,GradientBoosting,ExtraTrees,SISO+Residuals,12,0.905,0.604,0.081,0.166,0.859,0.576,0.103,0.178,0.236
422,GradientBoosting,PolyReg,SISO+Residuals,12,0.902,0.601,0.083,0.167,0.84,0.576,0.109,0.178,0.619
382,SVM,PolyReg,SISO+Residuals,12,0.821,0.542,0.112,0.179,0.806,0.576,0.12,0.178,0.033
384,SVM,KNN,SISO+Residuals,12,1.0,0.542,0.0,0.179,0.928,0.573,0.073,0.179,0.003
421,GradientBoosting,LinReg,SISO+Residuals,12,0.898,0.597,0.084,0.167,0.859,0.572,0.103,0.179,0.598
425,GradientBoosting,DecisionTree,SISO+Residuals,12,0.894,0.599,0.086,0.167,0.851,0.572,0.105,0.179,0.596
326,RandomForest,RandomForest,SISO+Residuals,9,0.902,0.612,0.083,0.164,0.858,0.571,0.103,0.179,0.05
427,GradientBoosting,GradientBoosting,SISO+Residuals,12,0.911,0.596,0.079,0.168,0.863,0.571,0.101,0.179,0.301
259,ExtraTrees,MLP,SISO+Residuals,6,0.877,0.565,0.093,0.174,0.838,0.57,0.11,0.179,0.077
323,RandomForest,SVM,SISO+Residuals,9,0.894,0.606,0.086,0.166,0.857,0.57,0.103,0.179,0.194
585,DecisionTree,DecisionTree,SISO+Residuals,20,0.851,0.559,0.102,0.175,0.814,0.569,0.118,0.179,0.002
525,ExtraTrees,DecisionTree,SISO+Residuals,19,0.871,0.574,0.095,0.172,0.843,0.569,0.108,0.18,0.506
256,ExtraTrees,RandomForest,SISO+Residuals,6,0.881,0.565,0.091,0.174,0.839,0.568,0.11,0.18,0.353
522,ExtraTrees,PolyReg,SISO+Residuals,19,0.902,0.571,0.083,0.173,0.738,0.566,0.14,0.18,0.637
328,RandomForest,ExtraTrees,SISO+Residuals,9,0.895,0.604,0.085,0.166,0.856,0.566,0.104,0.18,0.078
322,RandomForest,PolyReg,SISO+Residuals,9,0.902,0.603,0.083,0.166,0.846,0.565,0.107,0.18,0.202
529,ExtraTrees,MLP,SISO+Residuals,19,0.869,0.569,0.095,0.173,0.843,0.565,0.108,0.18,1.729
327,RandomForest,GradientBoosting,SISO+Residuals,9,0.896,0.603,0.085,0.166,0.857,0.564,0.103,0.18,0.689
625,MLP,DecisionTree,SISO+Residuals,20,0.863,0.532,0.098,0.181,0.825,0.564,0.114,0.181,0.92
325,RandomForest,DecisionTree,SISO+Residuals,9,0.895,0.602,0.085,0.166,0.857,0.564,0.104,0.181,0.192
258,ExtraTrees,ExtraTrees,SISO+Residuals,6,0.876,0.56,0.093,0.175,0.835,0.564,0.111,0.181,0.033
329,RandomForest,MLP,SISO+Residuals,9,0.895,0.602,0.085,0.166,0.856,0.563,0.104,0.181,4.397
587,DecisionTree,GradientBoosting,SISO+Residuals,20,0.867,0.558,0.096,0.175,0.823,0.563,0.115,0.181,1.296
254,ExtraTrees,KNN,SISO+Residuals,6,0.875,0.559,0.093,0.175,0.835,0.563,0.111,0.181,0.21
321,RandomForest,LinReg,SISO+Residuals,9,0.896,0.602,0.085,0.167,0.859,0.563,0.103,0.181,0.193
586,DecisionTree,RandomForest,SISO+Residuals,20,0.853,0.556,0.101,0.176,0.814,0.562,0.118,0.181,0.065
257,ExtraTrees,GradientBoosting,SISO+Residuals,6,0.873,0.557,0.094,0.176,0.832,0.562,0.112,0.181,0.416
582,DecisionTree,PolyReg,SISO+Residuals,20,0.894,0.556,0.086,0.176,0.509,0.562,0.192,0.181,0.167
527,ExtraTrees,GradientBoosting,SISO+Residuals,19,0.871,0.567,0.095,0.174,0.844,0.562,0.108,0.181,0.729
255,ExtraTrees,DecisionTree,SISO+Residuals,6,0.875,0.556,0.093,0.176,0.835,0.562,0.111,0.181,0.21
252,ExtraTrees,PolyReg,SISO+Residuals,6,0.874,0.556,0.094,0.176,0.834,0.562,0.111,0.181,0.214
526,ExtraTrees,RandomForest,SISO+Residuals,19,0.873,0.569,0.094,0.173,0.845,0.562,0.108,0.181,0.57
251,ExtraTrees,LinReg,SISO+Residuals,6,0.873,0.556,0.094,0.176,0.833,0.562,0.112,0.181,0.212
253,ExtraTrees,SVM,SISO+Residuals,6,0.873,0.557,0.094,0.176,0.83,0.561,0.113,0.181,0.211
584,DecisionTree,KNN,SISO+Residuals,20,0.849,0.555,0.103,0.176,0.812,0.561,0.119,0.181,0.002
324,RandomForest,KNN,SISO+Residuals,9,0.895,0.6,0.085,0.167,0.856,0.56,0.104,0.181,0.192
528,ExtraTrees,ExtraTrees,SISO+Residuals,19,0.873,0.567,0.094,0.174,0.846,0.56,0.107,0.181,0.043
588,DecisionTree,ExtraTrees,SISO+Residuals,20,0.849,0.553,0.103,0.176,0.812,0.56,0.118,0.181,0.088
523,ExtraTrees,SVM,SISO+Residuals,19,0.872,0.566,0.095,0.174,0.844,0.56,0.108,0.181,0.508
581,DecisionTree,LinReg,SISO+Residuals,20,0.851,0.553,0.102,0.177,0.814,0.56,0.118,0.181,0.005
589,DecisionTree,MLP,SISO+Residuals,20,0.849,0.553,0.103,0.177,0.811,0.559,0.119,0.182,1.207
524,ExtraTrees,KNN,SISO+Residuals,19,0.873,0.566,0.094,0.174,0.845,0.559,0.108,0.182,0.506
583,DecisionTree,SVM,SISO+Residuals,20,0.848,0.552,0.103,0.177,0.81,0.558,0.119,0.182,0.004
389,SVM,MLP,SISO+Residuals,12,0.819,0.528,0.112,0.181,0.805,0.558,0.121,0.182,0.187
521,ExtraTrees,LinReg,SISO+Residuals,19,0.871,0.564,0.095,0.174,0.846,0.558,0.107,0.182,0.508
381,SVM,LinReg,SISO+Residuals,12,0.805,0.521,0.116,0.183,0.8,0.556,0.122,0.182,0.01
502,RandomForest,PolyReg,SISO+Residuals,19,0.934,0.559,0.068,0.175,0.773,0.553,0.13,0.183,0.423
228,DecisionTree,ExtraTrees,SISO+Residuals,6,0.843,0.543,0.104,0.178,0.809,0.551,0.12,0.183,0.204
383,SVM,SVM,SISO+Residuals,12,0.795,0.515,0.12,0.184,0.791,0.55,0.125,0.183,0.006
348,ExtraTrees,ExtraTrees,SISO+Residuals,9,0.94,0.579,0.065,0.171,0.879,0.546,0.095,0.184,0.189
423,GradientBoosting,SVM,SISO+Residuals,12,0.89,0.575,0.087,0.172,0.847,0.545,0.107,0.184,0.598
349,ExtraTrees,MLP,SISO+Residuals,9,0.94,0.577,0.065,0.172,0.88,0.545,0.095,0.184,4.734
342,ExtraTrees,PolyReg,SISO+Residuals,9,0.943,0.577,0.063,0.172,0.851,0.544,0.106,0.185,0.129
506,RandomForest,RandomForest,SISO+Residuals,19,0.908,0.553,0.08,0.177,0.873,0.544,0.097,0.185,0.132
343,ExtraTrees,SVM,SISO+Residuals,9,0.938,0.572,0.066,0.173,0.88,0.544,0.095,0.185,0.119
226,DecisionTree,RandomForest,SISO+Residuals,6,0.836,0.543,0.107,0.178,0.802,0.544,0.122,0.185,0.128
503,RandomForest,SVM,SISO+Residuals,19,0.906,0.551,0.081,0.177,0.872,0.544,0.098,0.185,0.272
507,RandomForest,GradientBoosting,SISO+Residuals,19,0.907,0.551,0.081,0.177,0.873,0.542,0.098,0.185,0.316
346,ExtraTrees,RandomForest,SISO+Residuals,9,0.941,0.577,0.064,0.172,0.878,0.542,0.095,0.185,0.183
347,ExtraTrees,GradientBoosting,SISO+Residuals,9,0.94,0.576,0.064,0.172,0.879,0.542,0.095,0.185,0.752
341,ExtraTrees,LinReg,SISO+Residuals,9,0.94,0.576,0.065,0.172,0.881,0.541,0.094,0.185,0.119
504,RandomForest,KNN,SISO+Residuals,19,0.906,0.549,0.081,0.177,0.871,0.541,0.098,0.185,0.271
505,RandomForest,DecisionTree,SISO+Residuals,19,0.906,0.548,0.081,0.177,0.872,0.541,0.098,0.185,0.271
345,ExtraTrees,DecisionTree,SISO+Residuals,9,0.94,0.575,0.065,0.172,0.879,0.54,0.095,0.185,0.118
334,GradientBoosting,KNN,SISO+Residuals,9,0.999,0.598,0.008,0.167,0.908,0.54,0.083,0.185,0.51
508,RandomForest,ExtraTrees,SISO+Residuals,19,0.906,0.548,0.081,0.177,0.872,0.54,0.098,0.185,0.198
223,DecisionTree,SVM,SISO+Residuals,6,0.781,0.526,0.124,0.182,0.761,0.54,0.134,0.185,0.003
344,ExtraTrees,KNN,SISO+Residuals,9,0.94,0.573,0.065,0.172,0.878,0.539,0.095,0.186,0.118
501,RandomForest,LinReg,SISO+Residuals,19,0.907,0.548,0.08,0.178,0.874,0.539,0.097,0.186,0.273
337,GradientBoosting,GradientBoosting,SISO+Residuals,9,0.892,0.595,0.087,0.168,0.838,0.539,0.11,0.186,0.58
335,GradientBoosting,DecisionTree,SISO+Residuals,9,0.888,0.593,0.088,0.168,0.837,0.539,0.11,0.186,0.511
339,GradientBoosting,MLP,SISO+Residuals,9,0.889,0.594,0.088,0.168,0.838,0.538,0.11,0.186,1.788
336,GradientBoosting,RandomForest,SISO+Residuals,9,0.897,0.594,0.085,0.168,0.842,0.538,0.109,0.186,0.615
338,GradientBoosting,ExtraTrees,SISO+Residuals,9,0.889,0.593,0.088,0.168,0.837,0.538,0.11,0.186,0.339
332,GradientBoosting,PolyReg,SISO+Residuals,9,0.891,0.591,0.087,0.169,0.81,0.537,0.119,0.186,0.522
331,GradientBoosting,LinReg,SISO+Residuals,9,0.888,0.592,0.088,0.169,0.842,0.537,0.109,0.186,0.512
333,GradientBoosting,SVM,SISO+Residuals,9,0.888,0.594,0.089,0.168,0.835,0.535,0.111,0.187,0.512
509,RandomForest,MLP,SISO+Residuals,19,0.906,0.543,0.081,0.178,0.871,0.534,0.098,0.187,1.708
579,KNN,MLP,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,1.046
573,KNN,SVM,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,0.002
572,KNN,PolyReg,SISO+Residuals,20,1.0,0.497,0.0,0.187,-7592473099267.092,0.53,753449.915,0.187,0.293
574,KNN,KNN,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,0.001
576,KNN,RandomForest,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,0.037
578,KNN,ExtraTrees,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,0.447
575,KNN,DecisionTree,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,0.001
577,KNN,GradientBoosting,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.898,0.53,0.087,0.187,0.11
571,KNN,LinReg,SISO+Residuals,20,1.0,0.497,0.0,0.187,0.899,0.53,0.087,0.187,0.002
